index1,name,coef,linreg_scores,linreg_pvalues,classif_scores,classif_pvalues
0,equity_alloc_ewma_trim_t,0.0,8.3929,0.0061,6.7776,0.0131
1,tsy_10yr_yield_ewma_trim_t,0.0,11.0,0.002,7.1826,0.0108
2,tsy_5yr_yield_ewma_trim_t,0.0,14.7355,0.0004,9.1909,0.0044
3,tsy_3mo_yield_ewma_trim_t,0.0,15.2412,0.0004,7.0235,0.0117
4,unempl_rate_ewma_trim_t,0.0,3.2576,0.0788,7.7705,0.0082
5,sp500_peratio_ewma_trim_t,0.0,9.1876,0.0043,9.3456,0.0041
6,capacity_util_mfg_ewma_trim_t,0.0,7.5985,0.0088,6.4583,0.0152
7,capacity_util_chem_ewma_trim_t,0.0,7.6745,0.0085,7.9508,0.0076
8,med_family_income_vs_house_price_ewma_trim_t,0.0,7.1169,0.0111,2.6532,0.1116
9,gdp_nom_1yr_diff_ewma_trim_t,0.0,7.3135,0.0101,13.4916,0.0007
10,cpi_urb_nonvol_1yr_diff_ewma_trim_t,0.0,6.9107,0.0122,1.3772,0.2479
11,empl_construction_1yr_diff_ewma_trim_t,0.0,7.8201,0.008,9.8556,0.0033
12,industrial_prod_1yr_diff_ewma_trim_t,0.0002,7.1812,0.0107,1.6757,0.2033
13,housing_starts_1yr_diff_ewma_trim_t,0.0,7.7016,0.0084,0.8017,0.3762
14,housing_supply_1yr_diff_ewma_trim_t,0.0,8.381,0.0062,1.9803,0.1675
15,med_house_price_1yr_diff_ewma_trim_t,0.0,7.7088,0.0084,6.9994,0.0118
16,med_family_income_1yr_diff_ewma_trim_t,0.0,7.0026,0.0117,4.9988,0.0313
17,unempl_rate_1yr_diff_ewma_trim_t,0.0,5.3083,0.0266,4.046,0.0514
18,real_med_family_income_1yr_diff_ewma_trim_t,0.0,7.0583,0.0114,6.9019,0.0123
19,combanks_business_loans_1yr_diff_ewma_trim_t,0.0,7.2373,0.0105,0.6402,0.4286
20,combanks_assets_tot_1yr_diff_ewma_trim_t,0.0,7.2136,0.0106,3.1746,0.0828
21,mortage_debt_individuals_1yr_diff_ewma_trim_t,0.0,9.4413,0.0039,24.6661,0.0
22,real_estate_loans_1yr_diff_ewma_trim_t,0.0,8.2617,0.0065,16.0617,0.0003
23,foreign_dir_invest_1yr_diff_ewma_trim_t,0.0,7.2019,0.0106,2.7663,0.1045
24,tax_receipts_corp_1yr_diff_ewma_trim_t,0.0,7.6595,0.0086,6.8143,0.0129
25,equity_alloc_*_tsy_10yr_yield_ewma_trim_t,0.0,12.5063,0.0011,8.5602,0.0058
26,equity_alloc_/_tsy_10yr_yield_ewma_trim_t,0.0,3.7416,0.0604,3.127,0.085
27,equity_alloc_*_tsy_5yr_yield_ewma_trim_t,0.0,15.8259,0.0003,9.6171,0.0036
28,equity_alloc_/_tsy_5yr_yield_ewma_trim_t,0.0,2.0189,0.1633,6.2308,0.017
29,equity_alloc_*_tsy_3mo_yield_ewma_trim_t,0.0,14.8265,0.0004,6.7382,0.0133
30,equity_alloc_/_tsy_3mo_yield_ewma_trim_t,0.0,1.9006,0.1759,10.0297,0.003
31,equity_alloc_*_unempl_rate_ewma_trim_t,0.0,4.3195,0.0443,6.1218,0.0179
32,equity_alloc_/_unempl_rate_ewma_trim_t,0.0,12.2123,0.0012,7.5734,0.009
33,equity_alloc_*_capacity_util_mfg_ewma_trim_t,0.0,9.0869,0.0045,7.1087,0.0112
34,equity_alloc_/_capacity_util_mfg_ewma_trim_t,0.0,7.677,0.0085,5.1961,0.0283
35,equity_alloc_*_capacity_util_chem_ewma_trim_t,0.0,9.2002,0.0043,8.0576,0.0072
36,equity_alloc_/_capacity_util_chem_ewma_trim_t,0.0,7.6296,0.0087,3.392,0.0733
37,equity_alloc_*_med_family_income_vs_house_price_ewma_trim_t,0.0,8.6472,0.0055,7.473,0.0095
38,equity_alloc_/_med_family_income_vs_house_price_ewma_trim_t,0.0,8.1785,0.0068,5.3714,0.026
39,equity_alloc_*_gdp_nom_1yr_diff_ewma_trim_t,0.0,8.8544,0.005,8.4896,0.006
40,equity_alloc_/_gdp_nom_1yr_diff_ewma_trim_t,0.0,7.9401,0.0076,4.6892,0.0367
41,equity_alloc_*_cpi_urb_nonvol_1yr_diff_ewma_trim_t,0.0,8.4192,0.0061,6.7014,0.0136
42,equity_alloc_/_cpi_urb_nonvol_1yr_diff_ewma_trim_t,0.0,8.365,0.0062,6.8254,0.0128
43,equity_alloc_*_empl_construction_1yr_diff_ewma_trim_t,0.0,9.45,0.0038,8.6776,0.0055
44,equity_alloc_/_empl_construction_1yr_diff_ewma_trim_t,0.0,7.3436,0.0099,1.7277,0.1966
45,equity_alloc_*_industrial_prod_1yr_diff_ewma_trim_t,0.0,8.6722,0.0054,6.3261,0.0162
46,equity_alloc_/_industrial_prod_1yr_diff_ewma_trim_t,0.0,8.0626,0.0071,6.0629,0.0185
47,equity_alloc_*_housing_starts_1yr_diff_ewma_trim_t,0.0,9.3353,0.004,3.8508,0.0571
48,equity_alloc_/_housing_starts_1yr_diff_ewma_trim_t,0.0,6.0849,0.0181,0.1169,0.7343
49,equity_alloc_*_housing_supply_1yr_diff_ewma_trim_t,0.0,9.6412,0.0035,3.5232,0.0682
50,equity_alloc_/_housing_supply_1yr_diff_ewma_trim_t,0.0,6.004,0.0189,0.4977,0.4848
51,equity_alloc_*_med_house_price_1yr_diff_ewma_trim_t,0.0,9.2984,0.0041,9.8143,0.0033
52,equity_alloc_/_med_house_price_1yr_diff_ewma_trim_t,0.0466,7.4664,0.0094,1.4067,0.243
53,equity_alloc_*_med_family_income_1yr_diff_ewma_trim_t,0.0,8.5081,0.0058,6.7924,0.013
54,equity_alloc_/_med_family_income_1yr_diff_ewma_trim_t,0.0,8.2744,0.0065,6.712,0.0135
55,equity_alloc_*_unempl_rate_1yr_diff_ewma_trim_t,0.0,6.3973,0.0156,0.3063,0.5832
56,equity_alloc_/_unempl_rate_1yr_diff_ewma_trim_t,0.0,9.9189,0.0031,6.4769,0.0151
57,equity_alloc_*_real_med_family_income_1yr_diff_ewma_trim_t,0.0,8.565,0.0057,6.927,0.0122
58,equity_alloc_/_real_med_family_income_1yr_diff_ewma_trim_t,0.0,8.2188,0.0067,6.5646,0.0145
59,equity_alloc_*_combanks_business_loans_1yr_diff_ewma_trim_t,0.0,8.7143,0.0053,3.9599,0.0538
60,equity_alloc_/_combanks_business_loans_1yr_diff_ewma_trim_t,0.0,7.8061,0.008,2.9499,0.094
61,equity_alloc_*_combanks_assets_tot_1yr_diff_ewma_trim_t,0.0,8.7316,0.0053,6.831,0.0128
62,equity_alloc_/_combanks_assets_tot_1yr_diff_ewma_trim_t,0.0,8.0274,0.0073,5.6521,0.0226
63,equity_alloc_*_mortage_debt_individuals_1yr_diff_ewma_trim_t,0.0,11.2041,0.0018,16.3574,0.0002
64,equity_alloc_/_mortage_debt_individuals_1yr_diff_ewma_trim_t,0.0,6.1102,0.0179,3.8636,0.0567
65,equity_alloc_*_real_estate_loans_1yr_diff_ewma_trim_t,0.0,9.9213,0.0031,12.0971,0.0013
66,equity_alloc_/_real_estate_loans_1yr_diff_ewma_trim_t,0.0,6.9964,0.0117,0.1191,0.7319
67,equity_alloc_*_foreign_dir_invest_1yr_diff_ewma_trim_t,0.0,8.6796,0.0054,6.1225,0.0179
68,equity_alloc_/_foreign_dir_invest_1yr_diff_ewma_trim_t,0.0,8.081,0.0071,7.0576,0.0115
69,equity_alloc_*_tax_receipts_corp_1yr_diff_ewma_trim_t,0.0,9.4104,0.0039,14.7772,0.0004
70,equity_alloc_/_tax_receipts_corp_1yr_diff_ewma_trim_t,0.0,7.3597,0.0099,0.6402,0.4286
71,tsy_10yr_yield_*_unempl_rate_ewma_trim_t,0.0,6.2697,0.0166,0.0514,0.8218
72,tsy_10yr_yield_/_unempl_rate_ewma_trim_t,0.0,14.0499,0.0006,7.6659,0.0087
73,tsy_10yr_yield_*_sp500_peratio_ewma_trim_t,0.0,13.3077,0.0008,9.494,0.0038
74,tsy_10yr_yield_/_sp500_peratio_ewma_trim_t,0.0,8.183,0.0068,1.4945,0.2291
75,tsy_10yr_yield_*_capacity_util_mfg_ewma_trim_t,0.0,11.8354,0.0014,8.2974,0.0065
76,tsy_10yr_yield_/_capacity_util_mfg_ewma_trim_t,0.0,10.4024,0.0025,5.628,0.0228
77,tsy_10yr_yield_*_capacity_util_chem_ewma_trim_t,0.0,11.7855,0.0014,7.8816,0.0078
78,tsy_10yr_yield_/_capacity_util_chem_ewma_trim_t,0.0,10.6474,0.0023,7.638,0.0088
79,tsy_10yr_yield_*_med_family_income_vs_house_price_ewma_trim_t,0.0,11.396,0.0017,8.138,0.007
80,tsy_10yr_yield_/_med_family_income_vs_house_price_ewma_trim_t,0.0,10.6347,0.0023,6.2037,0.0172
81,tsy_10yr_yield_*_gdp_nom_1yr_diff_ewma_trim_t,0.0,11.5912,0.0015,8.477,0.006
82,tsy_10yr_yield_/_gdp_nom_1yr_diff_ewma_trim_t,0.0,10.4144,0.0025,5.8644,0.0203
83,tsy_10yr_yield_*_cpi_urb_nonvol_1yr_diff_ewma_trim_t,0.0,11.0283,0.002,7.1766,0.0109
84,tsy_10yr_yield_/_cpi_urb_nonvol_1yr_diff_ewma_trim_t,0.0,10.9762,0.002,7.1952,0.0108
85,tsy_10yr_yield_*_empl_construction_1yr_diff_ewma_trim_t,0.0,12.5683,0.001,10.8726,0.0021
86,tsy_10yr_yield_/_empl_construction_1yr_diff_ewma_trim_t,0.0,9.4669,0.0038,3.546,0.0674
87,tsy_10yr_yield_*_industrial_prod_1yr_diff_ewma_trim_t,0.0,11.4594,0.0016,8.243,0.0067
88,tsy_10yr_yield_/_industrial_prod_1yr_diff_ewma_trim_t,0.0,10.4771,0.0025,5.818,0.0208
89,tsy_10yr_yield_*_housing_starts_1yr_diff_ewma_trim_t,0.0,14.1989,0.0005,23.1572,0.0
90,tsy_10yr_yield_/_housing_starts_1yr_diff_ewma_trim_t,0.0,7.2026,0.0106,0.3742,0.5444
91,tsy_10yr_yield_*_housing_supply_1yr_diff_ewma_trim_t,0.0,11.4716,0.0016,4.7225,0.0361
92,tsy_10yr_yield_/_housing_supply_1yr_diff_ewma_trim_t,0.0,8.7314,0.0053,3.0608,0.0883
93,tsy_10yr_yield_*_med_house_price_1yr_diff_ewma_trim_t,0.0,12.384,0.0011,11.3073,0.0018
94,tsy_10yr_yield_/_med_house_price_1yr_diff_ewma_trim_t,0.0,9.639,0.0035,3.7027,0.0618
95,tsy_10yr_yield_*_med_family_income_1yr_diff_ewma_trim_t,0.0,11.156,0.0019,7.4459,0.0096
96,tsy_10yr_yield_/_med_family_income_1yr_diff_ewma_trim_t,0.0,10.8605,0.0021,6.9582,0.012
97,tsy_10yr_yield_*_unempl_rate_1yr_diff_ewma_trim_t,0.0,7.9115,0.0077,0.88,0.3541
98,tsy_10yr_yield_/_unempl_rate_1yr_diff_ewma_trim_t,0.0,13.612,0.0007,12.6426,0.001
99,tsy_10yr_yield_*_real_med_family_income_1yr_diff_ewma_trim_t,0.0,11.2156,0.0018,7.5374,0.0092
100,tsy_10yr_yield_/_real_med_family_income_1yr_diff_ewma_trim_t,0.0,10.7897,0.0022,6.818,0.0128
101,tsy_10yr_yield_*_combanks_business_loans_1yr_diff_ewma_trim_t,0.0,11.5093,0.0016,7.1045,0.0112
102,tsy_10yr_yield_/_combanks_business_loans_1yr_diff_ewma_trim_t,0.0,10.0753,0.0029,4.8683,0.0335
103,tsy_10yr_yield_*_combanks_assets_tot_1yr_diff_ewma_trim_t,0.0,11.3528,0.0017,7.4197,0.0097
104,tsy_10yr_yield_/_combanks_assets_tot_1yr_diff_ewma_trim_t,0.0,10.6161,0.0023,6.717,0.0135
105,tsy_10yr_yield_*_mortage_debt_individuals_1yr_diff_ewma_trim_t,0.0,14.4413,0.0005,14.5566,0.0005
106,tsy_10yr_yield_/_mortage_debt_individuals_1yr_diff_ewma_trim_t,0.0,8.1563,0.0068,1.3607,0.2507
107,tsy_10yr_yield_*_real_estate_loans_1yr_diff_ewma_trim_t,0.0,12.5582,0.001,9.3941,0.004
108,tsy_10yr_yield_/_real_estate_loans_1yr_diff_ewma_trim_t,0.0,9.5188,0.0037,4.5071,0.0403
109,tsy_10yr_yield_*_foreign_dir_invest_1yr_diff_ewma_trim_t,0.0,11.2978,0.0017,7.234,0.0106
110,tsy_10yr_yield_/_foreign_dir_invest_1yr_diff_ewma_trim_t,0.0,10.6261,0.0023,6.7388,0.0133
111,tsy_10yr_yield_*_tax_receipts_corp_1yr_diff_ewma_trim_t,0.0,12.4843,0.0011,12.1519,0.0013
112,tsy_10yr_yield_/_tax_receipts_corp_1yr_diff_ewma_trim_t,0.0,9.5144,0.0037,3.2538,0.0792
113,tsy_5yr_yield_*_unempl_rate_ewma_trim_t,0.0,10.3066,0.0027,4.4697,0.0411
114,tsy_5yr_yield_/_unempl_rate_ewma_trim_t,0.0,16.0496,0.0003,8.3408,0.0064
115,tsy_5yr_yield_*_sp500_peratio_ewma_trim_t,0.0,16.5915,0.0002,10.3885,0.0026
116,tsy_5yr_yield_/_sp500_peratio_ewma_trim_t,0.0,12.1519,0.0012,6.2233,0.0171
117,tsy_5yr_yield_*_capacity_util_mfg_ewma_trim_t,0.0,15.3995,0.0003,9.5855,0.0037
118,tsy_5yr_yield_/_capacity_util_mfg_ewma_trim_t,0.0,14.7474,0.0004,9.7812,0.0034
119,tsy_5yr_yield_*_capacity_util_chem_ewma_trim_t,0.0,15.2594,0.0004,9.309,0.0041
120,tsy_5yr_yield_/_capacity_util_chem_ewma_trim_t,0.0,13.915,0.0006,8.2547,0.0066
121,tsy_5yr_yield_*_med_family_income_vs_house_price_ewma_trim_t,0.0,15.2203,0.0004,9.8892,0.0032
122,tsy_5yr_yield_/_med_family_income_vs_house_price_ewma_trim_t,0.0,14.2978,0.0005,8.5213,0.0059
123,tsy_5yr_yield_*_gdp_nom_1yr_diff_ewma_trim_t,0.0,15.3879,0.0003,10.0298,0.003
124,tsy_5yr_yield_/_gdp_nom_1yr_diff_ewma_trim_t,0.0,14.0507,0.0006,8.2782,0.0065
125,tsy_5yr_yield_*_cpi_urb_nonvol_1yr_diff_ewma_trim_t,0.0,14.7011,0.0004,9.0797,0.0046
126,tsy_5yr_yield_/_cpi_urb_nonvol_1yr_diff_ewma_trim_t,0.0,14.7076,0.0004,9.2085,0.0043
127,tsy_5yr_yield_*_empl_construction_1yr_diff_ewma_trim_t,0.0,16.509,0.0002,11.5102,0.0016
128,tsy_5yr_yield_/_empl_construction_1yr_diff_ewma_trim_t,0.0,12.9114,0.0009,6.6737,0.0138
129,tsy_5yr_yield_*_industrial_prod_1yr_diff_ewma_trim_t,0.0,15.2476,0.0004,9.8508,0.0033
130,tsy_5yr_yield_/_industrial_prod_1yr_diff_ewma_trim_t,0.0,14.118,0.0006,8.3322,0.0064
131,tsy_5yr_yield_*_housing_starts_1yr_diff_ewma_trim_t,0.0,20.6998,0.0001,23.098,0.0
132,tsy_5yr_yield_/_housing_starts_1yr_diff_ewma_trim_t,0.0,9.2655,0.0042,1.9738,0.1682
133,tsy_5yr_yield_*_housing_supply_1yr_diff_ewma_trim_t,0.0,13.7219,0.0007,6.1412,0.0178
134,tsy_5yr_yield_/_housing_supply_1yr_diff_ewma_trim_t,0.0,13.5535,0.0007,10.7535,0.0022
135,tsy_5yr_yield_*_med_house_price_1yr_diff_ewma_trim_t,0.0,16.5623,0.0002,12.236,0.0012
136,tsy_5yr_yield_/_med_house_price_1yr_diff_ewma_trim_t,0.0,12.912,0.0009,6.3755,0.0159
137,tsy_5yr_yield_*_med_family_income_1yr_diff_ewma_trim_t,0.0,14.8326,0.0004,9.222,0.0043
138,tsy_5yr_yield_/_med_family_income_1yr_diff_ewma_trim_t,0.0,14.5921,0.0005,9.086,0.0046
139,tsy_5yr_yield_*_unempl_rate_1yr_diff_ewma_trim_t,0.0,11.0046,0.002,3.9842,0.0531
140,tsy_5yr_yield_/_unempl_rate_1yr_diff_ewma_trim_t,0.0,17.7725,0.0001,12.9536,0.0009
141,tsy_5yr_yield_*_real_med_family_income_1yr_diff_ewma_trim_t,0.0,14.8942,0.0004,9.2908,0.0042
142,tsy_5yr_yield_/_real_med_family_income_1yr_diff_ewma_trim_t,0.0,14.5426,0.0005,9.0346,0.0047
143,tsy_5yr_yield_*_combanks_business_loans_1yr_diff_ewma_trim_t,0.0,14.8773,0.0004,8.5329,0.0058
144,tsy_5yr_yield_/_combanks_business_loans_1yr_diff_ewma_trim_t,0.0,14.0566,0.0006,8.8411,0.0051
145,tsy_5yr_yield_*_combanks_assets_tot_1yr_diff_ewma_trim_t,0.0,14.8843,0.0004,9.044,0.0047
146,tsy_5yr_yield_/_combanks_assets_tot_1yr_diff_ewma_trim_t,0.0,14.4789,0.0005,9.1744,0.0044
147,tsy_5yr_yield_*_mortage_debt_individuals_1yr_diff_ewma_trim_t,0.0,18.6729,0.0001,14.6151,0.0005
148,tsy_5yr_yield_/_mortage_debt_individuals_1yr_diff_ewma_trim_t,0.0,11.3265,0.0017,4.5419,0.0396
149,tsy_5yr_yield_*_real_estate_loans_1yr_diff_ewma_trim_t,0.0,16.17,0.0003,10.5315,0.0025
150,tsy_5yr_yield_/_real_estate_loans_1yr_diff_ewma_trim_t,0.0,13.2763,0.0008,7.665,0.0087
151,tsy_5yr_yield_*_foreign_dir_invest_1yr_diff_ewma_trim_t,0.0,14.809,0.0004,8.8501,0.0051
152,tsy_5yr_yield_/_foreign_dir_invest_1yr_diff_ewma_trim_t,0.0,14.5318,0.0005,9.338,0.0041
153,tsy_5yr_yield_*_tax_receipts_corp_1yr_diff_ewma_trim_t,0.0,16.9004,0.0002,13.2603,0.0008
154,tsy_5yr_yield_/_tax_receipts_corp_1yr_diff_ewma_trim_t,0.0,12.6219,0.001,5.8303,0.0207
155,tsy_3mo_yield_*_unempl_rate_ewma_trim_t,0.0,17.3447,0.0002,8.6659,0.0055
156,tsy_3mo_yield_/_unempl_rate_ewma_trim_t,0.0,13.2274,0.0008,5.6017,0.0231
157,tsy_3mo_yield_*_sp500_peratio_ewma_trim_t,0.0,15.213,0.0004,7.0324,0.0116
158,tsy_3mo_yield_/_sp500_peratio_ewma_trim_t,0.0,15.0593,0.0004,6.8672,0.0126
159,tsy_3mo_yield_*_capacity_util_mfg_ewma_trim_t,0.0,15.0885,0.0004,6.9213,0.0122
160,tsy_3mo_yield_/_capacity_util_mfg_ewma_trim_t,0.0,15.4074,0.0003,7.201,0.0107
161,tsy_3mo_yield_*_capacity_util_chem_ewma_trim_t,0.0,14.8518,0.0004,6.7404,0.0133
162,tsy_3mo_yield_/_capacity_util_chem_ewma_trim_t,0.0,14.7402,0.0004,6.7005,0.0136
163,tsy_3mo_yield_*_med_family_income_vs_house_price_ewma_trim_t,0.0,15.5242,0.0003,7.2532,0.0105
164,tsy_3mo_yield_/_med_family_income_vs_house_price_ewma_trim_t,0.0,14.9644,0.0004,6.806,0.0129
165,tsy_3mo_yield_*_gdp_nom_1yr_diff_ewma_trim_t,0.0,15.6685,0.0003,7.3597,0.01
166,tsy_3mo_yield_/_gdp_nom_1yr_diff_ewma_trim_t,0.0,14.8406,0.0004,6.7121,0.0135
167,tsy_3mo_yield_*_empl_construction_1yr_diff_ewma_trim_t,0.0,16.338,0.0002,7.894,0.0078
168,tsy_3mo_yield_/_empl_construction_1yr_diff_ewma_trim_t,0.0,14.2027,0.0005,6.2118,0.0172
169,tsy_3mo_yield_*_industrial_prod_1yr_diff_ewma_trim_t,0.0,15.4007,0.0003,7.154,0.011
170,tsy_3mo_yield_/_industrial_prod_1yr_diff_ewma_trim_t,0.0,15.1241,0.0004,6.9266,0.0122
171,tsy_3mo_yield_*_housing_starts_1yr_diff_ewma_trim_t,0.0,23.6101,0.0,13.9539,0.0006
172,tsy_3mo_yield_/_housing_starts_1yr_diff_ewma_trim_t,0.0,9.4705,0.0038,2.9162,0.0959
173,tsy_3mo_yield_*_housing_supply_1yr_diff_ewma_trim_t,0.0,12.1142,0.0012,4.7955,0.0347
174,tsy_3mo_yield_/_housing_supply_1yr_diff_ewma_trim_t,0.0,19.2884,0.0001,10.2979,0.0027
175,tsy_3mo_yield_*_med_house_price_1yr_diff_ewma_trim_t,0.0,17.049,0.0002,8.4478,0.0061
176,tsy_3mo_yield_/_med_house_price_1yr_diff_ewma_trim_t,0.0,13.5741,0.0007,5.7604,0.0214
177,tsy_3mo_yield_*_med_family_income_1yr_diff_ewma_trim_t,0.0,15.1799,0.0004,6.9807,0.0119
178,tsy_3mo_yield_/_med_family_income_1yr_diff_ewma_trim_t,0.0,15.3288,0.0004,7.0887,0.0113
179,tsy_3mo_yield_*_unempl_rate_1yr_diff_ewma_trim_t,0.0,13.5718,0.0007,5.705,0.022
180,tsy_3mo_yield_/_unempl_rate_1yr_diff_ewma_trim_t,0.0,16.7489,0.0002,8.2381,0.0067
181,tsy_3mo_yield_*_real_med_family_income_1yr_diff_ewma_trim_t,0.0,15.2064,0.0004,7.0022,0.0118
182,tsy_3mo_yield_/_real_med_family_income_1yr_diff_ewma_trim_t,0.0,15.3184,0.0004,7.0796,0.0114
183,tsy_3mo_yield_*_combanks_business_loans_1yr_diff_ewma_trim_t,0.0,14.346,0.0005,6.3677,0.0159
184,tsy_3mo_yield_/_combanks_business_loans_1yr_diff_ewma_trim_t,0.0,16.1922,0.0003,7.748,0.0083
185,tsy_3mo_yield_*_combanks_assets_tot_1yr_diff_ewma_trim_t,0.0,15.0359,0.0004,6.871,0.0125
186,tsy_3mo_yield_/_combanks_assets_tot_1yr_diff_ewma_trim_t,0.0,15.5172,0.0003,7.2331,0.0106
187,tsy_3mo_yield_*_mortage_debt_individuals_1yr_diff_ewma_trim_t,0.0,18.4705,0.0001,9.6023,0.0036
188,tsy_3mo_yield_/_mortage_debt_individuals_1yr_diff_ewma_trim_t,0.0,12.552,0.001,4.9995,0.0313
189,tsy_3mo_yield_*_real_estate_loans_1yr_diff_ewma_trim_t,0.0,15.8785,0.0003,7.5325,0.0092
190,tsy_3mo_yield_/_real_estate_loans_1yr_diff_ewma_trim_t,0.0,14.6324,0.0005,6.5421,0.0146
191,tsy_3mo_yield_*_foreign_dir_invest_1yr_diff_ewma_trim_t,0.0,14.6652,0.0005,6.5989,0.0143
192,tsy_3mo_yield_/_foreign_dir_invest_1yr_diff_ewma_trim_t,0.0,15.8533,0.0003,7.4881,0.0094
193,tsy_3mo_yield_*_tax_receipts_corp_1yr_diff_ewma_trim_t,0.0,17.7886,0.0001,9.0435,0.0047
194,tsy_3mo_yield_/_tax_receipts_corp_1yr_diff_ewma_trim_t,0.0,13.0825,0.0008,5.3975,0.0256
195,unempl_rate_*_sp500_peratio_ewma_trim_t,0.0,4.828,0.034,3.7753,0.0594
196,unempl_rate_/_sp500_peratio_ewma_trim_t,0.0,2.0329,0.1619,8.4854,0.006
197,unempl_rate_*_capacity_util_mfg_ewma_trim_t,0.0,3.7399,0.0604,7.298,0.0103
198,unempl_rate_/_capacity_util_mfg_ewma_trim_t,0.0,2.8063,0.1019,7.8074,0.0081
199,unempl_rate_*_capacity_util_chem_ewma_trim_t,0.0,3.7592,0.0598,6.706,0.0135
200,unempl_rate_/_capacity_util_chem_ewma_trim_t,0.0,2.8057,0.1019,8.4341,0.0061
201,unempl_rate_*_med_family_income_vs_house_price_ewma_trim_t,0.0,3.3755,0.0738,7.1523,0.011
202,unempl_rate_/_med_family_income_vs_house_price_ewma_trim_t,0.0,3.1657,0.083,8.258,0.0066
