+---------------------------------------------------------------------------------------+--------+---------------+----------------+----------------+-----------------+
|                                          name                                         |  coef  | linreg_scores | linreg_pvalues | classif_scores | classif_pvalues |
+---------------------------------------------------------------------------------------+--------+---------------+----------------+----------------+-----------------+
|                     mortage_debt_individuals_1yr_diff_ewma_trim_t                     |  0.0   |     9.4413    |     0.0039     |    24.6661     |       0.0       |
|                  tsy_10yr_yield_*_housing_starts_1yr_diff_ewma_trim_t                 |  0.0   |    14.1989    |     0.0005     |    23.1572     |       0.0       |
|                  tsy_5yr_yield_*_housing_starts_1yr_diff_ewma_trim_t                  |  0.0   |    20.6998    |     0.0001     |     23.098     |       0.0       |
|           capacity_util_mfg_*_mortage_debt_individuals_1yr_diff_ewma_trim_t           |  0.0   |    10.3241    |     0.0026     |    22.0387     |       0.0       |
|    med_family_income_vs_house_price_*_mortage_debt_individuals_1yr_diff_ewma_trim_t   |  0.0   |     9.7449    |     0.0034     |     23.506     |       0.0       |
|            gdp_nom_1yr_diff_*_mortage_debt_individuals_1yr_diff_ewma_trim_t           |  0.0   |     9.9882    |     0.003      |    26.1051     |       0.0       |
|        cpi_urb_nonvol_1yr_diff_*_mortage_debt_individuals_1yr_diff_ewma_trim_t        |  0.0   |     9.4754    |     0.0038     |     24.453     |       0.0       |
|        cpi_urb_nonvol_1yr_diff_/_mortage_debt_individuals_1yr_diff_ewma_trim_t        |  0.0   |     4.9053    |     0.0327     |    21.9766     |       0.0       |
|       empl_construction_1yr_diff_*_mortage_debt_individuals_1yr_diff_ewma_trim_t      |  0.0   |    10.6952    |     0.0022     |    21.6861     |       0.0       |
|        industrial_prod_1yr_diff_*_mortage_debt_individuals_1yr_diff_ewma_trim_t       |  0.0   |     9.8243    |     0.0033     |    21.3257     |       0.0       |
|        med_house_price_1yr_diff_*_mortage_debt_individuals_1yr_diff_ewma_trim_t       |  0.0   |    10.4734    |     0.0025     |    21.3842     |       0.0       |
|           med_house_price_1yr_diff_*_real_estate_loans_1yr_diff_ewma_trim_t           |  0.0   |     9.2572    |     0.0042     |    24.1525     |       0.0       |
|       med_family_income_1yr_diff_*_mortage_debt_individuals_1yr_diff_ewma_trim_t      |  0.0   |     9.589     |     0.0036     |    24.1829     |       0.0       |
|       med_family_income_1yr_diff_/_mortage_debt_individuals_1yr_diff_ewma_trim_t      |  0.0   |     4.9765    |     0.0315     |    22.1261     |       0.0       |
|    real_med_family_income_1yr_diff_*_mortage_debt_individuals_1yr_diff_ewma_trim_t    |  0.0   |     9.6587    |     0.0035     |     24.297     |       0.0       |
|    real_med_family_income_1yr_diff_/_mortage_debt_individuals_1yr_diff_ewma_trim_t    |  0.0   |     5.0187    |     0.0308     |    21.8961     |       0.0       |
|      combanks_assets_tot_1yr_diff_*_mortage_debt_individuals_1yr_diff_ewma_trim_t     |  0.0   |     9.8467    |     0.0032     |     21.835     |       0.0       |
|         combanks_assets_tot_1yr_diff_*_tax_receipts_corp_1yr_diff_ewma_trim_t         |  0.0   |     8.1322    |     0.0069     |    22.0458     |       0.0       |
|       mortage_debt_individuals_1yr_diff_*_real_estate_loans_1yr_diff_ewma_trim_t      |  0.0   |    11.1863    |     0.0018     |    26.9682     |       0.0       |
|      mortage_debt_individuals_1yr_diff_*_foreign_dir_invest_1yr_diff_ewma_trim_t      |  0.0   |     9.842     |     0.0032     |    22.8379     |       0.0       |
|       mortage_debt_individuals_1yr_diff_*_tax_receipts_corp_1yr_diff_ewma_trim_t      |  0.0   |    10.4807    |     0.0025     |    27.2919     |       0.0       |
|          real_estate_loans_1yr_diff_*_tax_receipts_corp_1yr_diff_ewma_trim_t          |  0.0   |     9.3207    |     0.0041     |    35.8805     |       0.0       |
|                   mortage_debt_individuals_1yr_diff_ewma_trim_pow2_t                  |  0.0   |     12.59     |     0.001      |     26.423     |       0.0       |
|             sp500_peratio_*_mortage_debt_individuals_1yr_diff_ewma_trim_t             |  0.0   |    12.1914    |     0.0012     |    17.9785     |      0.0001     |
|    med_family_income_vs_house_price_/_mortage_debt_individuals_1yr_diff_ewma_trim_t   |  0.0   |     5.0581    |     0.0302     |    20.0972     |      0.0001     |
|            gdp_nom_1yr_diff_/_mortage_debt_individuals_1yr_diff_ewma_trim_t           |  0.0   |     5.2082    |     0.028      |    18.5746     |      0.0001     |
|          empl_construction_1yr_diff_*_real_estate_loans_1yr_diff_ewma_trim_t          |  0.0   |     9.4552    |     0.0038     |    19.8063     |      0.0001     |
|      combanks_assets_tot_1yr_diff_/_mortage_debt_individuals_1yr_diff_ewma_trim_t     |  0.0   |     5.1426    |     0.029      |    20.1152     |      0.0001     |
|         combanks_assets_tot_1yr_diff_/_real_estate_loans_1yr_diff_ewma_trim_t         |  0.0   |     5.9664    |     0.0192     |    19.8559     |      0.0001     |
|      mortage_debt_individuals_1yr_diff_/_foreign_dir_invest_1yr_diff_ewma_trim_t      |  0.0   |     9.0127    |     0.0047     |    19.7231     |      0.0001     |
|           equity_alloc_*_mortage_debt_individuals_1yr_diff_ewma_trim_pow2_t           |  0.0   |    16.2791    |     0.0002     |    18.5906     |      0.0001     |
|              equity_alloc_*_mortage_debt_individuals_1yr_diff_ewma_trim_t             |  0.0   |    11.2041    |     0.0018     |    16.3574     |      0.0002     |
|                 sp500_peratio_*_tax_receipts_corp_1yr_diff_ewma_trim_t                |  0.0   |    10.2865    |     0.0027     |    16.7002     |      0.0002     |
|               capacity_util_mfg_*_tax_receipts_corp_1yr_diff_ewma_trim_t              |  0.0   |     8.5408    |     0.0058     |    16.8232     |      0.0002     |
|              capacity_util_chem_*_tax_receipts_corp_1yr_diff_ewma_trim_t              |  0.0   |     8.6382    |     0.0055     |    16.8996     |      0.0002     |
|          empl_construction_1yr_diff_*_tax_receipts_corp_1yr_diff_ewma_trim_t          |  0.0   |     8.7375    |     0.0053     |    16.6166     |      0.0002     |
|          med_family_income_1yr_diff_*_real_estate_loans_1yr_diff_ewma_trim_t          |  0.0   |     8.3975    |     0.0061     |    16.3404     |      0.0002     |
|        real_med_family_income_1yr_diff_*_real_estate_loans_1yr_diff_ewma_trim_t       |  0.0   |     8.4616    |     0.006      |    16.6923     |      0.0002     |
|                      real_estate_loans_1yr_diff_ewma_trim_pow2_t                      |  0.0   |     9.7843    |     0.0033     |    16.8174     |      0.0002     |
|               equity_alloc_*_tax_receipts_corp_1yr_diff_ewma_trim_pow2_t              |  0.0   |    12.3371    |     0.0011     |    17.1665     |      0.0002     |
|                         real_estate_loans_1yr_diff_ewma_trim_t                        |  0.0   |     8.2617    |     0.0065     |    16.0617     |      0.0003     |
|            cpi_urb_nonvol_1yr_diff_/_real_estate_loans_1yr_diff_ewma_trim_t           |  0.0   |     5.6827    |     0.0221     |    15.5729     |      0.0003     |
|                 equity_alloc_*_tax_receipts_corp_1yr_diff_ewma_trim_t                 |  0.0   |     9.4104    |     0.0039     |    14.7772     |      0.0004     |
|           capacity_util_mfg_/_mortage_debt_individuals_1yr_diff_ewma_trim_t           |  0.0   |     5.4406    |     0.0249     |    15.2149     |      0.0004     |
|            cpi_urb_nonvol_1yr_diff_*_real_estate_loans_1yr_diff_ewma_trim_t           |  0.0   |     8.2899    |     0.0064     |    15.1318     |      0.0004     |
|        industrial_prod_1yr_diff_/_mortage_debt_individuals_1yr_diff_ewma_trim_t       |  0.0   |     5.1162    |     0.0294     |    15.3088     |      0.0004     |
|             tsy_10yr_yield_*_mortage_debt_individuals_1yr_diff_ewma_trim_t            |  0.0   |    14.4413    |     0.0005     |    14.5566     |      0.0005     |
|             tsy_5yr_yield_*_mortage_debt_individuals_1yr_diff_ewma_trim_t             |  0.0   |    18.6729    |     0.0001     |    14.6151     |      0.0005     |
|               capacity_util_mfg_*_real_estate_loans_1yr_diff_ewma_trim_t              |  0.0   |     9.063     |     0.0046     |     14.581     |      0.0005     |
|              capacity_util_chem_*_real_estate_loans_1yr_diff_ewma_trim_t              |  0.0   |     9.1422    |     0.0044     |     14.614     |      0.0005     |
|               gdp_nom_1yr_diff_/_med_family_income_1yr_diff_ewma_trim_t               |  0.0   |     7.1894    |     0.0107     |    14.2694     |      0.0005     |
|    combanks_business_loans_1yr_diff_*_mortage_debt_individuals_1yr_diff_ewma_trim_t   |  0.0   |     9.9093    |     0.0031     |    14.6875     |      0.0005     |
|                  tsy_3mo_yield_*_housing_starts_1yr_diff_ewma_trim_t                  |  0.0   |    23.6101    |      0.0       |    13.9539     |      0.0006     |
|                           gdp_nom_1yr_diff_ewma_trim_pow2_t                           |  0.0   |     7.7591    |     0.0082     |    13.9628     |      0.0006     |
|                              gdp_nom_1yr_diff_ewma_trim_t                             |  0.0   |     7.3135    |     0.0101     |    13.4916     |      0.0007     |
