index1,name,linreg_scores,linreg_pvalues,classif_scores,classif_pvalues
0,equity_alloc_ewma_trim_t,7.8101,0.0073,4.3873,0.0414
1,equity_alloc_ewma_trim_isnull,,,,
2,tsy_10yr_yield_ewma_trim_t,12.1221,0.001,11.5167,0.0014
3,tsy_10yr_yield_ewma_trim_isnull,,,,
4,tsy_5yr_yield_ewma_trim_t,17.0106,0.0001,14.7705,0.0003
5,tsy_5yr_yield_ewma_trim_isnull,,,,
6,tsy_3mo_yield_ewma_trim_t,35.9725,0.0,26.1595,0.0
7,tsy_3mo_yield_ewma_trim_isnull,,,,
8,unempl_rate_ewma_trim_t,2.9839,0.0903,10.2074,0.0024
9,unempl_rate_ewma_trim_isnull,,,,
10,sp500_peratio_ewma_trim_t,8.1212,0.0063,4.6845,0.0353
11,sp500_peratio_ewma_trim_isnull,,,,
12,capacity_util_mfg_ewma_trim_t,7.4644,0.0087,11.7389,0.0012
13,capacity_util_mfg_ewma_trim_isnull,,,,
14,capacity_util_chem_ewma_trim_t,7.6305,0.008,16.6842,0.0002
15,capacity_util_chem_ewma_trim_isnull,,,,
16,med_family_income_vs_house_price_ewma_trim_t,6.7985,0.012,0.9803,0.327
17,med_family_income_vs_house_price_ewma_trim_isnull,,,,
18,gdp_nom_1yr_diff_ewma_trim_t,6.7522,0.0123,0.5973,0.4433
19,gdp_nom_1yr_diff_ewma_trim_isnull,,,,
20,cpi_urb_nonvol_1yr_diff_ewma_trim_t,6.7412,0.0123,15.3869,0.0003
21,cpi_urb_nonvol_1yr_diff_ewma_trim_isnull,,,,
22,industrial_prod_1yr_diff_ewma_trim_t,6.819,0.0119,0.5704,0.4537
23,industrial_prod_1yr_diff_ewma_trim_isnull,,,,
24,med_house_price_1yr_diff_ewma_trim_t,6.1198,0.0168,3.8258,0.0562
25,med_house_price_1yr_diff_ewma_trim_isnull,,,,
26,med_family_income_1yr_diff_ewma_trim_t,6.7627,0.0122,3.7903,0.0573
27,med_family_income_1yr_diff_ewma_trim_isnull,,,,
28,unempl_rate_1yr_diff_ewma_trim_t,6.7252,0.0124,0.0715,0.7902
29,unempl_rate_1yr_diff_ewma_trim_isnull,,,,
30,real_med_family_income_1yr_diff_ewma_trim_t,6.8057,0.012,6.4422,0.0144
31,real_med_family_income_1yr_diff_ewma_trim_isnull,,,,
32,combanks_business_loans_1yr_diff_ewma_trim_t,8.1653,0.0062,9.9883,0.0027
33,combanks_business_loans_1yr_diff_ewma_trim_isnull,,,,
34,combanks_assets_tot_1yr_diff_ewma_trim_t,7.2045,0.0098,12.187,0.001
35,combanks_assets_tot_1yr_diff_ewma_trim_isnull,,,,
36,mortage_debt_individuals_1yr_diff_ewma_trim_t,6.4506,0.0142,0.0914,0.7637
37,mortage_debt_individuals_1yr_diff_ewma_trim_isnull,,,,
38,real_estate_loans_1yr_diff_ewma_trim_t,7.3908,0.009,4.5741,0.0375
39,real_estate_loans_1yr_diff_ewma_trim_isnull,,,,
40,foreign_dir_invest_1yr_diff_ewma_trim_t,7.3161,0.0093,14.9308,0.0003
41,foreign_dir_invest_1yr_diff_ewma_trim_isnull,,,,
42,tax_receipts_corp_1yr_diff_ewma_trim_t,5.7265,0.0205,11.246,0.0015
43,tax_receipts_corp_1yr_diff_ewma_trim_isnull,,,,
44,equity_alloc_times_tsy_10yr_yield_ewma_trim_t,13.9473,0.0005,14.889,0.0003
45,equity_alloc_times_tsy_10yr_yield_ewma_trim_isnull,,,,
46,equity_alloc_div_tsy_10yr_yield_ewma_trim_t,3.0294,0.0879,4.8612,0.0322
47,equity_alloc_div_tsy_10yr_yield_ewma_trim_isnull,,,,
48,equity_alloc_times_tsy_5yr_yield_ewma_trim_t,18.9647,0.0001,16.8532,0.0002
49,equity_alloc_times_tsy_5yr_yield_ewma_trim_isnull,,,,
50,equity_alloc_div_tsy_5yr_yield_ewma_trim_t,1.7989,0.1859,8.5784,0.0052
51,equity_alloc_div_tsy_5yr_yield_ewma_trim_isnull,,,,
52,equity_alloc_times_tsy_3mo_yield_ewma_trim_t,37.2253,0.0,27.2137,0.0
53,equity_alloc_times_tsy_3mo_yield_ewma_trim_isnull,,,,
54,equity_alloc_div_tsy_3mo_yield_ewma_trim_t,1.0652,0.307,27.0087,0.0
55,equity_alloc_div_tsy_3mo_yield_ewma_trim_isnull,,,,
56,equity_alloc_times_unempl_rate_ewma_trim_t,3.7789,0.0575,12.3818,0.0009
57,equity_alloc_times_unempl_rate_ewma_trim_isnull,,,,
58,equity_alloc_div_unempl_rate_ewma_trim_t,13.1522,0.0007,13.7184,0.0005
59,equity_alloc_div_unempl_rate_ewma_trim_isnull,,,,
60,equity_alloc_times_sp500_peratio_ewma_trim_t,9.1088,0.004,4.9198,0.0312
61,equity_alloc_times_sp500_peratio_ewma_trim_isnull,,,,
62,equity_alloc_div_sp500_peratio_ewma_trim_t,6.3265,0.0152,1.9969,0.1639
63,equity_alloc_div_sp500_peratio_ewma_trim_isnull,,,,
64,equity_alloc_times_capacity_util_mfg_ewma_trim_t,8.6241,0.005,7.0545,0.0106
65,equity_alloc_times_capacity_util_mfg_ewma_trim_isnull,,,,
66,equity_alloc_div_capacity_util_mfg_ewma_trim_t,7.0284,0.0107,0.9696,0.3296
67,equity_alloc_div_capacity_util_mfg_ewma_trim_isnull,,,,
68,equity_alloc_times_capacity_util_chem_ewma_trim_t,8.8665,0.0045,9.5569,0.0033
