+-------------------------------------------------------------------------------------------+---------------+----------------+----------------+-----------------+
|                                            name                                           | linreg_scores | linreg_pvalues | classif_scores | classif_pvalues |
+-------------------------------------------------------------------------------------------+---------------+----------------+----------------+-----------------+
|                                  equity_alloc_ewma_trim_t                                 |     7.8101    |     0.0073     |     4.3873     |      0.0414     |
|                                 tsy_10yr_yield_ewma_trim_t                                |    12.1221    |     0.001      |    11.5167     |      0.0014     |
|                                 tsy_5yr_yield_ewma_trim_t                                 |    17.0106    |     0.0001     |    14.7705     |      0.0003     |
|                                 tsy_3mo_yield_ewma_trim_t                                 |    35.9725    |      0.0       |    26.1595     |       0.0       |
|                                 sp500_peratio_ewma_trim_t                                 |     8.1212    |     0.0063     |     4.6845     |      0.0353     |
|                               capacity_util_mfg_ewma_trim_t                               |     7.4644    |     0.0087     |    11.7389     |      0.0012     |
|                               capacity_util_chem_ewma_trim_t                              |     7.6305    |     0.008      |    16.6842     |      0.0002     |
|                        med_family_income_vs_house_price_ewma_trim_t                       |     6.7985    |     0.012      |     0.9803     |      0.327      |
|                                gdp_nom_1yr_diff_ewma_trim_t                               |     6.7522    |     0.0123     |     0.5973     |      0.4433     |
|                            cpi_urb_nonvol_1yr_diff_ewma_trim_t                            |     6.7412    |     0.0123     |    15.3869     |      0.0003     |
|                            industrial_prod_1yr_diff_ewma_trim_t                           |     6.819     |     0.0119     |     0.5704     |      0.4537     |
|                            med_house_price_1yr_diff_ewma_trim_t                           |     6.1198    |     0.0168     |     3.8258     |      0.0562     |
|                           med_family_income_1yr_diff_ewma_trim_t                          |     6.7627    |     0.0122     |     3.7903     |      0.0573     |
|                              unempl_rate_1yr_diff_ewma_trim_t                             |     6.7252    |     0.0124     |     0.0715     |      0.7902     |
|                        real_med_family_income_1yr_diff_ewma_trim_t                        |     6.8057    |     0.012      |     6.4422     |      0.0144     |
|                        combanks_business_loans_1yr_diff_ewma_trim_t                       |     8.1653    |     0.0062     |     9.9883     |      0.0027     |
|                          combanks_assets_tot_1yr_diff_ewma_trim_t                         |     7.2045    |     0.0098     |     12.187     |      0.001      |
|                       mortage_debt_individuals_1yr_diff_ewma_trim_t                       |     6.4506    |     0.0142     |     0.0914     |      0.7637     |
|                           real_estate_loans_1yr_diff_ewma_trim_t                          |     7.3908    |     0.009      |     4.5741     |      0.0375     |
|                          foreign_dir_invest_1yr_diff_ewma_trim_t                          |     7.3161    |     0.0093     |    14.9308     |      0.0003     |
|                           tax_receipts_corp_1yr_diff_ewma_trim_t                          |     5.7265    |     0.0205     |     11.246     |      0.0015     |
|                       equity_alloc_times_tsy_10yr_yield_ewma_trim_t                       |    13.9473    |     0.0005     |     14.889     |      0.0003     |
|                        equity_alloc_times_tsy_5yr_yield_ewma_trim_t                       |    18.9647    |     0.0001     |    16.8532     |      0.0002     |
|                        equity_alloc_times_tsy_3mo_yield_ewma_trim_t                       |    37.2253    |      0.0       |    27.2137     |       0.0       |
|                          equity_alloc_div_unempl_rate_ewma_trim_t                         |    13.1522    |     0.0007     |    13.7184     |      0.0005     |
|                        equity_alloc_times_sp500_peratio_ewma_trim_t                       |     9.1088    |     0.004      |     4.9198     |      0.0312     |
|                         equity_alloc_div_sp500_peratio_ewma_trim_t                        |     6.3265    |     0.0152     |     1.9969     |      0.1639     |
|                      equity_alloc_times_capacity_util_mfg_ewma_trim_t                     |     8.6241    |     0.005      |     7.0545     |      0.0106     |
