index1,name,coefs,coef_expit,coef_exp,linreg_scores,linreg_pvalues,classif_scores,classif_pvalues
0,equity_alloc_ewma_trim_t,-0.0069,0.4983,0.9931,22.1723,0.0,86.4381,0.085
1,tsy_10yr_yield_ewma_trim_t,0.0067,0.5017,1.0067,16.9544,0.0003,45.2453,0.1172
2,tsy_5yr_yield_ewma_trim_t,0.0015,0.5004,1.0015,11.5932,0.0018,41.5124,0.1223
3,tsy_3mo_yield_ewma_trim_t,-0.005,0.4988,0.9951,4.1734,0.0494,754.1726,0.0288
4,unempl_rate_ewma_trim_t,0.0022,0.5006,1.0022,44.8185,0.0,46.3547,0.1158
5,sp500_peratio_ewma_trim_t,0.0007,0.5002,1.0007,15.3314,0.0004,140.3674,0.0667
6,capacity_util_mfg_ewma_trim_t,0.0001,0.5,1.0001,25.1706,0.0,35.0916,0.133
7,capacity_util_chem_ewma_trim_t,-0.0026,0.4993,0.9974,26.7545,0.0,22.5989,0.1652
8,med_family_income_vs_house_price_ewma_trim_t,0.0029,0.5007,1.0029,30.6732,0.0,5.1632,0.3371
9,gdp_nom_1yr_diff_ewma_trim_t,-0.0031,0.4992,0.9969,28.7385,0.0,2.1966,0.4951
10,cpi_urb_nonvol_1yr_diff_ewma_trim_t,0.0018,0.5005,1.0018,29.4376,0.0,5.0374,0.341
11,empl_construction_1yr_diff_ewma_trim_t,0.0062,0.5015,1.0062,27.0562,0.0,4.7885,0.3491
12,industrial_prod_1yr_diff_ewma_trim_t,-0.0027,0.4993,0.9973,27.3221,0.0,51.7533,0.1097
13,housing_starts_1yr_diff_ewma_trim_t,-0.0011,0.4997,0.9989,31.3909,0.0,3.3106,0.4135
14,housing_supply_1yr_diff_ewma_trim_t,-0.0013,0.4997,0.9987,31.7099,0.0,12.9049,0.2174
15,med_house_price_1yr_diff_ewma_trim_t,0.0062,0.5016,1.0063,30.841,0.0,0.2496,0.9459
16,med_family_income_1yr_diff_ewma_trim_t,0.0003,0.5001,1.0003,29.1439,0.0,148.0969,0.065
17,unempl_rate_1yr_diff_ewma_trim_t,-0.0094,0.4976,0.9906,39.6068,0.0,5.9813,0.3146
18,real_med_family_income_1yr_diff_ewma_trim_t,0.0013,0.5003,1.0013,28.3427,0.0,29.8047,0.1441
19,combanks_business_loans_1yr_diff_ewma_trim_t,0.0049,0.5012,1.0049,23.0498,0.0,195.5224,0.0566
20,combanks_assets_tot_1yr_diff_ewma_trim_t,0.0043,0.5011,1.0043,29.316,0.0,497.4297,0.0355
21,mortage_debt_individuals_1yr_diff_ewma_trim_t,0.0,0.5,1.0,32.3854,0.0,7.8684,0.2761
22,real_estate_loans_1yr_diff_ewma_trim_t,0.0028,0.5007,1.0028,30.9079,0.0,7.7739,0.2777
23,foreign_dir_invest_1yr_diff_ewma_trim_t,-0.0009,0.4998,0.9991,24.8377,0.0,15.5328,0.1986
24,tax_receipts_corp_1yr_diff_ewma_trim_t,0.0054,0.5013,1.0054,30.5794,0.0,5.7985,0.3192
25,equity_alloc_*_tsy_10yr_yield_ewma_trim_t,0.0094,0.5024,1.0095,13.1512,0.001,59.3287,0.1025
26,equity_alloc_/_tsy_10yr_yield_ewma_trim_t,-0.0224,0.4944,0.9779,37.5393,0.0,45.9211,0.1164
27,equity_alloc_*_tsy_5yr_yield_ewma_trim_t,0.0038,0.5009,1.0038,9.1255,0.0049,56.3818,0.1051
28,equity_alloc_/_tsy_5yr_yield_ewma_trim_t,-0.0163,0.4959,0.9838,57.4829,0.0,16.2948,0.194
29,equity_alloc_*_tsy_3mo_yield_ewma_trim_t,0.0003,0.5001,1.0003,3.3798,0.0753,864.891,0.0269
30,equity_alloc_/_tsy_3mo_yield_ewma_trim_t,-0.0035,0.4991,0.9965,150.2823,0.0,inf,0.0
31,equity_alloc_*_unempl_rate_ewma_trim_t,-0.002,0.4995,0.998,34.3031,0.0,104.6529,0.0772
32,equity_alloc_/_unempl_rate_ewma_trim_t,-0.0083,0.4979,0.9917,14.2113,0.0007,124.6677,0.0708
33,equity_alloc_*_capacity_util_mfg_ewma_trim_t,-0.0095,0.4976,0.9906,18.9985,0.0001,51.5261,0.1099
34,equity_alloc_/_capacity_util_mfg_ewma_trim_t,-0.001,0.4997,0.999,25.8645,0.0,inf,0.0
35,equity_alloc_*_capacity_util_chem_ewma_trim_t,-0.0113,0.4972,0.9887,20.2066,0.0001,37.8299,0.1281
36,equity_alloc_/_capacity_util_chem_ewma_trim_t,-0.0013,0.4997,0.9987,24.408,0.0,60.4526,0.1015
37,equity_alloc_*_med_family_income_vs_house_price_ewma_trim_t,-0.0056,0.4986,0.9945,22.8417,0.0,23.011,0.1638
38,equity_alloc_/_med_family_income_vs_house_price_ewma_trim_t,-0.0076,0.4981,0.9924,21.4232,0.0001,inf,0.0
39,equity_alloc_*_gdp_nom_1yr_diff_ewma_trim_t,-0.0105,0.4974,0.9896,21.5527,0.0001,34.7736,0.1336
40,equity_alloc_/_gdp_nom_1yr_diff_ewma_trim_t,-0.0034,0.4991,0.9966,22.8141,0.0,587.6738,0.0326
41,equity_alloc_*_cpi_urb_nonvol_1yr_diff_ewma_trim_t,-0.0059,0.4985,0.9941,22.0747,0.0,69.1353,0.095
42,equity_alloc_/_cpi_urb_nonvol_1yr_diff_ewma_trim_t,-0.0078,0.4981,0.9923,22.2717,0.0,109.6463,0.0755
43,equity_alloc_*_empl_construction_1yr_diff_ewma_trim_t,-0.0045,0.4989,0.9956,20.3332,0.0001,28.9955,0.1461
44,equity_alloc_/_empl_construction_1yr_diff_ewma_trim_t,-0.0099,0.4975,0.9902,24.1762,0.0,254640.9137,0.0016
45,equity_alloc_*_industrial_prod_1yr_diff_ewma_trim_t,-0.0122,0.4969,0.9879,20.5116,0.0001,57.4329,0.1041
46,equity_alloc_/_industrial_prod_1yr_diff_ewma_trim_t,-0.0016,0.4996,0.9984,23.9417,0.0,182.7915,0.0585
47,equity_alloc_*_housing_starts_1yr_diff_ewma_trim_t,-0.0035,0.4991,0.9965,23.6016,0.0,39.3244,0.1257
48,equity_alloc_/_housing_starts_1yr_diff_ewma_trim_t,-0.006,0.4985,0.994,20.6699,0.0001,15.6392,0.198
49,equity_alloc_*_housing_supply_1yr_diff_ewma_trim_t,-0.0086,0.4978,0.9914,23.0453,0.0,21.3569,0.1699
50,equity_alloc_/_housing_supply_1yr_diff_ewma_trim_t,-0.0052,0.4987,0.9948,20.3074,0.0001,278.0,0.0474
51,equity_alloc_*_med_house_price_1yr_diff_ewma_trim_t,-0.0051,0.4987,0.9949,23.1415,0.0,2.6955,0.4531
52,equity_alloc_/_med_house_price_1yr_diff_ewma_trim_t,-0.0085,0.4979,0.9915,21.302,0.0001,11.4734,0.2302
53,equity_alloc_*_med_family_income_1yr_diff_ewma_trim_t,-0.008,0.498,0.992,21.8999,0.0001,71.663,0.0933
54,equity_alloc_/_med_family_income_1yr_diff_ewma_trim_t,-0.0057,0.4986,0.9943,22.4425,0.0,104.6334,0.0772
55,equity_alloc_*_unempl_rate_1yr_diff_ewma_trim_t,0.0028,0.5007,1.0028,29.724,0.0,14.1708,0.2077
56,equity_alloc_/_unempl_rate_1yr_diff_ewma_trim_t,-0.0108,0.4973,0.9893,16.7162,0.0003,8.9691,0.2593
57,equity_alloc_*_real_med_family_income_1yr_diff_ewma_trim_t,-0.0078,0.4981,0.9923,21.257,0.0001,70.3034,0.0942
58,equity_alloc_/_real_med_family_income_1yr_diff_ewma_trim_t,-0.006,0.4985,0.994,23.1251,0.0,112.4354,0.0745
59,equity_alloc_*_combanks_business_loans_1yr_diff_ewma_trim_t,-0.0053,0.4987,0.9947,17.4078,0.0002,115.8247,0.0734
60,equity_alloc_/_combanks_business_loans_1yr_diff_ewma_trim_t,-0.0093,0.4977,0.9907,28.3765,0.0,124.2774,0.0709
61,equity_alloc_*_combanks_assets_tot_1yr_diff_ewma_trim_t,-0.0049,0.4988,0.9951,21.9456,0.0,91.3676,0.0826
62,equity_alloc_/_combanks_assets_tot_1yr_diff_ewma_trim_t,-0.009,0.4978,0.9911,22.4063,0.0,82.6388,0.0869
63,equity_alloc_*_mortage_debt_individuals_1yr_diff_ewma_trim_t,-0.0071,0.4982,0.993,24.2103,0.0,12.6621,0.2194
64,equity_alloc_/_mortage_debt_individuals_1yr_diff_ewma_trim_t,-0.005,0.4988,0.995,20.3362,0.0001,5315.0175,0.0109
65,equity_alloc_*_real_estate_loans_1yr_diff_ewma_trim_t,-0.0071,0.4982,0.9929,22.9703,0.0,2227.2648,0.0168
66,equity_alloc_/_real_estate_loans_1yr_diff_ewma_trim_t,-0.0065,0.4984,0.9935,21.3724,0.0001,31.8347,0.1395
67,equity_alloc_*_foreign_dir_invest_1yr_diff_ewma_trim_t,-0.006,0.4985,0.994,18.5887,0.0001,41.3495,0.1226
68,equity_alloc_/_foreign_dir_invest_1yr_diff_ewma_trim_t,-0.0084,0.4979,0.9916,26.386,0.0,69.2055,0.0949
69,equity_alloc_*_tax_receipts_corp_1yr_diff_ewma_trim_t,-0.005,0.4988,0.9951,22.8678,0.0,10.1806,0.2439
70,equity_alloc_/_tax_receipts_corp_1yr_diff_ewma_trim_t,-0.0095,0.4976,0.9906,21.7787,0.0001,1634.6886,0.0196
71,tsy_10yr_yield_*_unempl_rate_ewma_trim_t,0.0033,0.5008,1.0033,24.8309,0.0,109.6266,0.0755
72,tsy_10yr_yield_/_unempl_rate_ewma_trim_t,0.0106,0.5026,1.0106,11.4368,0.0019,98.4658,0.0796
73,tsy_10yr_yield_*_sp500_peratio_ewma_trim_t,0.0144,0.5036,1.0145,9.4348,0.0043,97.0097,0.0802
74,tsy_10yr_yield_/_sp500_peratio_ewma_trim_t,0.0038,0.501,1.0038,29.1611,0.0,inf,0.0
75,tsy_10yr_yield_*_capacity_util_mfg_ewma_trim_t,0.0088,0.5022,1.0089,14.4312,0.0006,47.2872,0.1147
76,tsy_10yr_yield_/_capacity_util_mfg_ewma_trim_t,0.0136,0.5034,1.0137,20.9599,0.0001,1.5318,0.5747
77,tsy_10yr_yield_*_capacity_util_chem_ewma_trim_t,0.0067,0.5017,1.0067,15.2649,0.0005,41.4326,0.1225
78,tsy_10yr_yield_/_capacity_util_chem_ewma_trim_t,0.0088,0.5022,1.0088,18.7606,0.0001,2.0674,0.5081
79,tsy_10yr_yield_*_med_family_income_vs_house_price_ewma_trim_t,0.0058,0.5015,1.0058,17.696,0.0002,21.0267,0.1712
80,tsy_10yr_yield_/_med_family_income_vs_house_price_ewma_trim_t,0.0073,0.5018,1.0073,16.1839,0.0003,92.7422,0.082
81,tsy_10yr_yield_*_gdp_nom_1yr_diff_ewma_trim_t,0.0046,0.5012,1.0046,16.4857,0.0003,30.0884,0.1435
82,tsy_10yr_yield_/_gdp_nom_1yr_diff_ewma_trim_t,0.0083,0.5021,1.0083,17.4466,0.0002,73.5818,0.0921
83,tsy_10yr_yield_*_cpi_urb_nonvol_1yr_diff_ewma_trim_t,0.0062,0.5016,1.0062,16.8906,0.0003,43.4401,0.1196
84,tsy_10yr_yield_/_cpi_urb_nonvol_1yr_diff_ewma_trim_t,0.0072,0.5018,1.0072,17.0333,0.0002,53.4738,0.1079
85,tsy_10yr_yield_*_empl_construction_1yr_diff_ewma_trim_t,0.0091,0.5023,1.0091,15.564,0.0004,28.1332,0.1483
