+---------------------------------------------------------------------------------------+---------+------------+----------+---------------+----------------+----------------+-----------------+
|                                          name                                         |  coefs  | coef_expit | coef_exp | linreg_scores | linreg_pvalues | classif_scores | classif_pvalues |
+---------------------------------------------------------------------------------------+---------+------------+----------+---------------+----------------+----------------+-----------------+
|                        equity_alloc_/_tsy_3mo_yield_ewma_trim_t                       | -0.0035 |   0.4991   |  0.9965  |    150.2823   |      0.0       |      inf       |       0.0       |
|                      equity_alloc_/_capacity_util_mfg_ewma_trim_t                     |  -0.001 |   0.4997   |  0.999   |    25.8645    |      0.0       |      inf       |       0.0       |
|              equity_alloc_/_med_family_income_vs_house_price_ewma_trim_t              | -0.0076 |   0.4981   |  0.9924  |    21.4232    |     0.0001     |      inf       |       0.0       |
|                       tsy_10yr_yield_/_sp500_peratio_ewma_trim_t                      |  0.0038 |   0.501    |  1.0038  |    29.1611    |      0.0       |      inf       |       0.0       |
|                       tsy_5yr_yield_/_sp500_peratio_ewma_trim_t                       | -0.0029 |   0.4993   |  0.9971  |    19.4513    |     0.0001     |      inf       |       0.0       |
|                     tsy_5yr_yield_/_capacity_util_mfg_ewma_trim_t                     |  -0.005 |   0.4987   |  0.995   |    13.5938    |     0.0008     |      inf       |       0.0       |
|                     tsy_5yr_yield_/_capacity_util_chem_ewma_trim_t                    |   0.0   |    0.5     |   1.0    |    12.8807    |     0.0011     |      inf       |       0.0       |
|                       tsy_3mo_yield_/_sp500_peratio_ewma_trim_t                       | -0.0181 |   0.4955   |  0.982   |     6.5274    |     0.0156     |      inf       |       0.0       |
|                     tsy_3mo_yield_/_capacity_util_mfg_ewma_trim_t                     | -0.0086 |   0.4979   |  0.9915  |     4.6815    |     0.0381     |      inf       |       0.0       |
|                     tsy_3mo_yield_/_capacity_util_chem_ewma_trim_t                    | -0.0005 |   0.4999   |  0.9995  |     4.5711    |     0.0403     |      inf       |       0.0       |
|                    tsy_3mo_yield_*_unempl_rate_1yr_diff_ewma_trim_t                   | -0.0036 |   0.4991   |  0.9964  |     5.5255    |     0.0251     |      inf       |       0.0       |
|                             tsy_3mo_yield_ewma_trim_pow2_t                            |  0.0026 |   0.5006   |  1.0026  |     1.0017    |     0.3244     |      inf       |       0.0       |
|                     equity_alloc_*_tsy_3mo_yield_ewma_trim_pow2_t                     |  0.0122 |   0.5031   |  1.0123  |     0.6384    |     0.4302     |      inf       |       0.0       |
|                     equity_alloc_/_tsy_3mo_yield_ewma_trim_pow2_t                     | -0.0141 |   0.4965   |  0.986   |    134.6651   |      0.0       |      inf       |       0.0       |
|            equity_alloc_/_med_family_income_vs_house_price_ewma_trim_pow2_t           | -0.0157 |   0.4961   |  0.9844  |    15.3864    |     0.0004     |      inf       |       0.0       |
|           tsy_10yr_yield_/_med_family_income_vs_house_price_ewma_trim_pow2_t          |  0.0057 |   0.5014   |  1.0057  |     6.6406    |     0.0148     |      inf       |       0.0       |
|                     equity_alloc_/_tsy_3mo_yield_ewma_trim_sqrt_t                     |  0.002  |   0.5005   |  1.002   |    76.4571    |      0.0       |      inf       |       0.0       |
|                  unempl_rate_*_tax_receipts_corp_1yr_diff_ewma_trim_t                 |  0.0028 |   0.5007   |  1.0028  |    46.2893    |      0.0       | 149379958.046  |      0.0001     |
